Date,Keyword,My App Rank,"MyRadar","Clime (Apalon)","Weather Underground","WetterOnline"
"2026-08-07","weather radar",13,1,11,10,3
"2026-08-07","tornado",24,3,11,>100,>100
"2026-08-07","radar",>100,1,13,19,4
"2026-08-08","weather radar",11,1,16,13,3
"2026-08-08","tornado",24,3,12,>100,>100
"2026-08-08","radar",>100,1,15,18,4
"2026-08-09","weather radar",10,1,16,15,3
"2026-08-09","tornado",24,3,12,>100,>100
"2026-08-09","radar",30,1,15,18,4
"2026-08-10","weather radar",>100,1,17,12,3
"2026-08-10","tornado",13,3,15,>100,>100
"2026-08-10","radar",>100,1,15,19,4
"2026-08-11","weather radar",>100,1,17,16,3
"2026-08-11","tornado",13,4,15,>100,>100
"2026-08-11","radar",>100,1,14,17,4
"2026-08-12","weather radar",>100,1,17,13,3
"2026-08-12","tornado",12,4,15,>100,>100
"2026-08-12","radar",>100,1,14,17,4
"2026-08-13","weather radar",>100,1,17,13,3
"2026-08-13","tornado",13,3,12,>100,>100
"2026-08-13","radar",>100,1,14,17,5
"2026-08-14","weather radar",>100,1,16,15,3
"2026-08-14","tornado",13,3,12,>100,>100
"2026-08-14","radar",>100,1,14,22,5
"2026-08-15","weather radar",>100,1,16,14,3
"2026-08-15","tornado",12,3,13,>100,>100
"2026-08-15","radar",>100,1,14,22,5
"2026-08-16","weather radar",>100,1,17,13,3
"2026-08-16","tornado",12,3,13,>100,>100
"2026-08-16","radar",>100,1,14,22,5
"2026-08-17","weather radar",>100,1,17,13,3
"2026-08-17","tornado",12,3,13,>100,>100
"2026-08-17","radar",>100,1,15,22,5
"2026-08-18","weather radar",>100,1,>100,10,3
"2026-08-18","tornado",12,3,15,>100,>100
"2026-08-18","radar",>100,1,18,17,4
"2026-08-19","weather radar",21,1,17,10,3
"2026-08-19","tornado",11,3,15,>100,>100
"2026-08-19","radar",>100,1,19,17,4
"2026-08-20","weather radar",>100,1,>100,10,3
"2026-08-20","tornado",11,3,14,>100,>100
"2026-08-20","radar",>100,1,19,17,4
"2026-08-21","weather radar",29,1,16,12,3
"2026-08-21","tornado",14,5,>100,>100,>100
"2026-08-21","radar",>100,1,16,17,2
"2026-08-22","weather radar",>100,1,23,14,2
"2026-08-22","tornado",14,8,>100,>100,>100
"2026-08-22","radar",>100,1,15,17,2
"2026-08-23","weather radar",>100,1,22,13,2
"2026-08-23","tornado",13,6,>100,>100,>100
"2026-08-23","radar",>100,1,15,17,2
"2026-08-24","weather radar",>100,1,>100,12,2
"2026-08-24","tornado",14,7,>100,>100,>100
"2026-08-24","radar",>100,1,15,16,2
"2026-08-25","weather radar",>100,1,29,13,2
"2026-08-25","tornado",14,9,>100,>100,>100
"2026-08-25","radar",>100,1,15,16,2
"2026-08-26","weather radar",>100,1,>100,11,2
"2026-08-26","tornado",14,11,>100,>100,>100
"2026-08-26","radar",>100,1,16,17,2
"2026-08-27","weather radar",>100,1,21,12,3
"2026-08-27","tornado",11,7,>100,>100,>100
"2026-08-27","radar",>100,1,15,16,2
"2026-08-28","weather radar",>100,1,19,13,3
"2026-08-28","tornado",11,12,>100,>100,>100
"2026-08-28","radar",>100,1,14,16,2
"2026-08-29","weather radar",20,1,14,13,2
"2026-08-29","tornado",11,13,>100,>100,>100
"2026-08-29","radar",>100,1,14,17,2
"2026-08-30","weather radar",26,1,14,13,2
"2026-08-30","tornado",11,13,>100,>100,>100
"2026-08-30","radar",>100,1,14,17,2
"2026-08-31","weather radar",23,1,15,12,2
"2026-08-31","tornado",9,11,>100,>100,>100
"2026-08-31","radar",>100,1,14,17,2
"2026-09-01","weather radar",23,1,14,12,2
"2026-09-01","tornado",11,17,>100,>100,>100
"2026-09-01","radar",>100,1,14,16,2
"2026-09-02","weather radar",25,1,14,13,2
"2026-09-02","tornado",10,15,>100,>100,>100
"2026-09-02","radar",>100,1,14,16,2
"2026-09-03","weather radar",26,1,15,13,2
"2026-09-03","tornado",9,14,>100,>100,>100
"2026-09-03","radar",>100,1,14,17,2
"2026-09-04","weather radar",27,1,15,13,2
"2026-09-04","tornado",9,13,>100,>100,>100
"2026-09-04","radar",>100,1,14,17,2
